Renewable electricity: number of installations at Local Authority Level - as at end of 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some cells refer to notes which can be found on the notes worksheet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Authority Code [note 1],Local Authority Name  [note 5][note 6][note 7] [note 8][note 9],Region,Country,Estimated number of households  [note 2][note 3][note 4],Photovoltaics,Onshore Wind,Hydro,Anaerobic Digestion,Offshore Wind,Wave/Tidal,Sewage Gas,Landfill Gas,Municipal Solid Waste,Animal Biomass,Plant Biomass,Cofiring,Total,,,,,,,,,,,,,
W06000003,Conwy,Wales,Wales," 52,200 ","3,780 ",40 ,28 ,0 ,2 ,0 ,1 ,1 ,0 ,0 ,5 ,0 ,"3,857 ",,,,,,,,,,,,,
E06000052,Cornwall,South West,England," 250,500 ","31,024 ",433 ,17 ,7 ,0 ,0 ,3 ,5 ,1 ,0 ,3 ,0 ,"31,493 ",,,,,,,,,,,,,
E07000079,Cotswold,South West,England," 40,600 ","2,692 ",8 ,2 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,"2,706 ",,,,,,,,,,,,,
E06000047,County Durham,North East,England," 234,800 ","14,001 ",96 ,8 ,5 ,0 ,0 ,3 ,6 ,0 ,0 ,5 ,0 ,"14,124 ",,,,,,,,,,,,,
E08000026,Coventry,West Midlands,England," 134,100 ","4,874 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,"4,875 ",,,,,,,,,,,,,
E07000226,Crawley,South East,England," 45,500 ","2,161 ",1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,"2,163 ",,,,,,,,,,,,,
E09000008,Croydon,London,England," 152,900 ","4,847 ",1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,"4,849 ",,,,,,,,,,,,,
E06000063 ,Cumberland,North West,England," 125,500 ","7,273 ",168 ,21 ,19 ,0 ,0 ,0 ,3 ,0 ,0 ,5 ,0 ,"7,489 ",,,,,,,,,,,,,
E07000096,Dacorum,Eastern,England," 63,400 ","3,134 ",3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"3,137 ",,,,,,,,,,,,,
E06000005,Darlington,North East,England," 48,900 ","2,660 ",9 ,0 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,"2,671 ",,,,,,,,,,,,,
E07000107,Dartford,South East,England," 45,700 ","2,128 ",0 ,0 ,0 ,0 ,0 ,1 ,3 ,0 ,0 ,0 ,0 ,"2,132 ",,,,,,,,,,,,,
W06000004,Denbighshire / Sir Ddinbych,Wales,Wales," 42,400 ","4,386 ",38 ,18 ,2 ,1 ,0 ,1 ,0 ,0 ,0 ,6 ,0 ,"4,452 ",,,,,,,,,,,,,
E06000015,Derby,East Midlands,England," 105,700 ","6,264 ",3 ,1 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,"6,271 ",,,,,,,,,,,,,
E07000035,Derbyshire Dales,East Midlands,England," 32,300 ","3,111 ",20 ,11 ,1 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,0 ,"3,145 ",,,,,,,,,,,,,
E08000017,Doncaster,Yorkshire and Humber,England," 133,500 ","9,593 ",10 ,0 ,3 ,0 ,0 ,1 ,8 ,1 ,0 ,1 ,0 ,"9,617 ",,,,,,,,,,,,,
E06000059,Dorset,South West,England," 169,300 ","15,744 ",26 ,11 ,14 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,"15,798 ",,,,,,,,,,,,,
